s.no,CPU,MRP
229,Intel I3 2100 3.1 GHz LGA 1155 Socket 2 Cores Desktop Processor,"₹1,235"
230,KAVTRON 3.3 GHz LGA 1155 2nd Gen Processor in-tel Core i3-2120 3.3Ghz for H61 Motherboard LGA-1155 Processor,"₹2,599"
231,suryaasys 3.4 GHz LGA 1151 I7 6700 Processor,"₹9,000"
232,Intel I3 550 3.2 GHz LGA 1156 Socket 4 Cores Desktop Processor,"₹1,412"
233,Intel Core i5-3550P ( 3RD GEN ) Quad-Core 6MB Cache 3.1 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,422"
234,suryaasys 3.8 GHz LGA 1151 Processor core i5 7500 Processor,"₹7,700"
235,suryaasys 3.8 GHz LGA 1155 2600S Processor,"₹3,550"
236,srigs 3.3 GHz LGA 1155 Intel Core i3-3200 (3rd Gen) Processor,₹815
237,ERH India 100 GHz AM2 1 Pc Induction Cooling Fan Big Processor,₹229
238,Dtech 3.3 GHz LGA 1151 G4400 3.30Ghz Pentium LGA1151 6th Gen Processor,"₹1,399"
239,srigs 3.2 GHz LGA 1151 intel core i7 8700 Processor,"₹16,499"
240,Intel core I5 2500k 3.3 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,600"
241,Intel i3-2120 3.3 GHz LGA 1155 Socket 2 Cores 4 Threads 3 MB Smart Cache Desktop Processor,"₹1,303"
242,processsor Ultra 3 GHz LGA 1150 Core i3 4150t Processor,"₹1,615"
243,MD Tech 2.9 GHz LGA 2011-v3 e5-2697 v2 (Used) Processor,"₹7,999"
244,GREEN SOUL Monster Ult. (S) Multi-Functional Ergonomic Chair|Gaming & WFH|Supreme Comfort Gaming Chair,"₹18,990"
245,Astound VGA Male to HDMI Female Converter 3.5MM USB Gaming Adapter,₹999
246,suryaasys 4.1 GHz LGA 1151 core i5 8500 Processor,"₹11,200"
247,Dtech 3.2 GHz LGA 1155 Intel Core i5 3470 Processor,"₹3,050"
248,BRCTRADERS 3.3 GHz LGA 1155 3220 Processor,"₹1,700"
249,suryaasys 3.3 GHz LGA 1151 Processor core i5 7500t Processor,"₹7,400"
250,RETRACK Portable 4 RGB Fans Powerful Cooler Stand Quiet Gaming Stand11-17.3 inch Laptop Cooling Pad,"₹1,299"
251,suryaasys 3.3 GHz LGA 1151 G4400 Processor,"₹1,188"
252,Intel G4560 3.5 GHz LGA 1151 Socket 2 Cores Desktop Processor,"₹5,999"
253,RETRACK 4RGB Cooler Silent Fan Foldable Laptop Cooling Pad For 11-17.3 inch Laptop 4 Fan Cooling Pad,"₹1,299"
254,Reklinex Multi-Functional Ergonomic with Lumbar Support & Adjustable Back Rest Reklinex M2 Blue Gaming Chair,"₹8,499"
255,Intel Core I5 3570 3.8 GHz LGA 1155 Socket 4 Cores Desktop Processor,"₹2,050"
256,suryaasys 3.1 GHz LGA 1151 Processor core i5 6500T Processor,"₹5,200"
257,suryaasys 3.9 GHz LGA 1151 I3 7100 Processor,"₹3,100"
258,DAICHI 3.3 GHz LGA 1155 INTEL CORE i3-3rd GENERATION FOR H61 MOTHERBOARD Processor,₹899
259,RRHR SALES AK-66 Six Finger All-in-One Mobile Game Controller Mobile Phone Handle L1R1 Fire and Aim Button PUBG Trigger Shooter Joystick  Motion Controller,₹299
260,GREEN SOUL Xtreme Gaming Chair,"₹16,990"
261,suryaasys 3.2 GHz LGA 1155 I5 3470 Processor,"₹1,805"
262,suryaasys 3.28 GHz LGA 1156 I3 550 Processor,₹700
263,Cipto Folding Portable Adjustment Desktop Laptop Holder Stand Cooling Pad,₹494
264,Astound VGA to HDMI Converter Adapter Gaming Adapter,₹999
265,rahul 3.48 GHz LGA 2011-v3 Processor Processor,"₹7,000"
266,Dtech 3.3 GHz LGA 1155 2120 Processor,₹849
267,suryaasys 3.4 GHz LGA 1155 I5 3570 Processor,"₹2,050"
268,GIGASTAR 3.3 GHz LGA 1155 Intel Core i3 i3-2120 3.30 GHz Processor - Socket H2 LGA-1155 Processor,₹674
269,REKART Multi-Functional Ergonomic Gaming Chair Adjustable Back Rest M5-Yellow M1 - YELLOW Gaming Chair,"₹8,499"
270,"QUEZIL AK-66 Powerful Fire Metal Trigger Gamepad Controller Joystick Mobile Game Controller Remote, Gaming Grip Remote Control Compatible with  Gaming Accessory Kit",₹299
271,DEVBHOOMI 165 GHz AM2+ DB -VIP 400R Processor,₹699
272,22 TECH 3.3 GHz LGA 1155 Intel Core i3 2120 2nd Generation 3.3 GHz LGA 1155 Cores Desktop Processor Processor,₹999
273,TP TROOPS Micro to USB A 3.0 OTG Gaming Adapter,₹220
274,"TP TROOPS Type C to Lighting OTG Adapter - iOS 15 OTG Adapter, Gaming Adapter",₹209
275,Dtech 2.93 GHz LGA 775 E7500 Processor,₹399
276,ryzen 3.9 GHz AM4 5600G Processor,"₹14,999"
277,"amd Ryzen Processor 7 series 3.7 GHz AM4 Socket 8 Cores Server, Desktop Processor","₹27,999"
278,srigs 3.1 GHz LGA 1155 Intel Core i5-2400 (2nd Gen) Processor,"₹1,300"
279,"Bestor Dual-Sided Multifunctional Desk Pad ,Waterproof Desk Blotter Protector,Extended Mouse Pad/Desk Mat for Work from Home/Office/Gaming | Vegan PU Leather | Anti-Skid, Anti-Slip, Reversible Splash-Proof – Deskspread ~ Navy Blue & Yellow Mousepad",₹769
280,"Astound VGA to HDMI Converter, converts VGA & audio to HDMI Gaming Adapter",₹999
281,suryaasys 3.2 GHz LGA 1156 I5 650 Processor,₹810
282,"Dtech 3.2 GHz FM2+, FM2 AMD A8-5500B AD550BOKA44HJ Processor","₹2,499"
