s.no,motherBoard,MRP
180,ZEBRONICS ZEB-H61M2 with NVMe Slot + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹4,549"
181,Raspberry Pi 4 Model B 2GB RAM Motherboard,"₹5,999"
182,ZEBRONICS H61M2+240GB WD SSD + 4GB starlite DDR3 RAM with CORE i3 3RD GEN CPU Combo set Motherboard,"₹6,500"
183,ZEBRONICS G41+128 GB SATA SSD + 4GB starlite DDR3 RAM with Core 2 Duo CPU Combo set Motherboard,"₹5,211"
184,Cmos Micro Lithium Cell CR2032 Motherboard,₹202
185,RashMove FMB-G41(DDR3) Motherboard,"₹4,500"
186,ZEB ZEBRONICS_H61M2 Motherboard,"₹3,249"
187,GIGABYTE 110MH Motherboard,"₹7,499"
188,MSI Z590 PLUS Motherboard,"₹17,649"
189,TECHON New PCI 4-digit PC Diagnostic Card With User Manual (red) Motherboard,₹331
190,ZEBRONICS H81M2+ Starlite 256GB NVME SSD & 8GB RAM with Intel Core i3 Processor combo set Motherboard,"₹8,948"
191,ZEBRONICS H81+240GB CRUCIAL SSD + 4GB starlite DDR3 RAM with CORE i3 4Th GEN CPU Combo set Motherboard,"₹7,749"
192,ZEBRONICS ZEB-H61 Motherboard,"₹2,449"
193,Dtech ECS H61H2 Motherboard Intel G2020 Processor 2Gb Adata Ram DDR3 Motherboard,"₹2,799"
194,ZEBRONICS H55-COMBO-KIT-4GB Motherboard,"₹4,850"
195,sillora X99 + E2 2620 V3 Motherboard,"₹9,999"
196,ZEBRONICS H61-i5-4GB-FAN Motherboard,"₹4,699"
197,ZEBRONICS ZEB-H61M2 with NVMe Slot + Starlite 4GB RAM + Scuda 256GB NVMe SSD Combo Set Motherboard,"₹6,349"
198,Dtech Asus P5KPL AMPS Motherboard with dual core processor and 2Gb RAM Motherboard,"₹2,500"
199,mytechvision X99 Motherboard,"₹12,999"
200,Matrix MXG41 Motherboard,"₹1,934"
201,FOXI FOXIN H61 MB 2 YEAR ARANTY Motherboard,"₹2,252"
202,ZEBRONICS ZEB-H55 Motherboard,"₹2,790"
203,ZEBRONICS H61+128GB SATA SSD+4GB starlite DDR3 RAM with PENTIUM DUALCORE CPU Combo Motherboard,"₹5,499"
204,ZEBRONICS H61 + i5 3570 Processor + 4Gb Ram + CPU Fan Motherboard,"₹6,019"
205,ZEBRONICS ZEB-H61M2 built in NVMe Slot + Scuda 128GB NVMe SSD+4GB DDR3 RAM Combo Set Motherboard,"₹5,822"
206,gebronic ZEBRONIC_H61M2 Motherboard,"₹2,099"
207,mytechvision X99 LGA 2011 Motherboard,"₹9,984"
208,ASRock Z690 PG Riptide Motherboard,"₹20,299"
209,Dtech Gigabyte GA-N3050M-D3P Motherboard,"₹2,499"
210,mytechvision X79 motherboard with E5 2650 processor Motherboard,"₹8,999"
211,"SmartCam NanoPi M1 Plus Allwinner H3,Quad-Core A7@1.2GHz Compatible Raspberry Pi Motherboard","₹8,999"
212,ZEBRONICS G41-D2SP COMBO WITH C2D PROCESSOR Motherboard,"₹3,990"
213,Dtech Intel D245KT Motherboard,"₹1,799"
214,ZEBRONICS ZEB H55 (HDMI - MSATA) Motherboard,"₹2,465"
215,Dtech Acer H81-M1 Motherboard,"₹2,499"
216,Dtech Asus P5GAsus P5G41T-MLX Motherboard,"₹2,299"
217,Dtech Intel D945GCPE Motherboard,"₹1,699"
218,ZEBRONICS ZEB-G31-D2-COMBO KIT Motherboard,"₹3,799"
219,ZEBRONICS Zeb-H61 Motherboard LGA1155 Socket Micro ATX DDR3 Motherboard,"₹2,449"
220,Dtech Acer H57-AD With i3 Processor 2Gb Ram Motherboard,"₹2,899"
221,aht Board_001 Motherboard,"₹1,650"
222,Dtech Asus M2N68 AM PLUS Motherboard,"₹1,999"
223,Dtech Foxin G31 Motherboard with Dual Core Processor and 2Gb DDR2 RAM Motherboard,"₹2,449"
224,ZEBRONICS ZEB-G41-D3-4GB-COMBO Motherboard,"₹3,347"
225,Dtech Acer H310CH5-M23HV Motherboard,"₹3,399"
226,techut PCI 4-Digit PC Motherboard Diagnostic Card with User Manual Motherboard,₹349
227,Dtech Intel H61 Motherboard with Core i3 Processor and 4Gb Ram Motherboard,"₹4,199"
228,Dtech ECS G41 Motherboard Pentium E5200 2.5Ghz 2Gb DDR3 RAM Motherboard,"₹2,700"
229,MSI Z690-A DDR4 Motherboard,"₹19,667"
230,Zingsha X99 Dual CPU Motherboard with Intel Xeon 2699 v3 CPU and 64 GB RAM Motherboard,"₹58,559"
231,GIGABYTE B550M DS3H Motherboard,"₹9,649"
232,Maxwell Arduino UNO R3 Board ATmega328P with FREE USB Cable Motherboard,₹899
233,Dtech Zebronics G31 Series Motherboard Motherboard,"₹1,899"
234,Dtech Asus P8H61M LX3 Motherboard,"₹4,499"
235,Dtech Lapcare G31 Motherboard Motherboard,"₹1,899"
236,ZEBRONICS Zeb H-61M2 Motherboard LGA 1155 Socket with M2 slot Motherboard,"₹2,449"
237,Mak World 4 Digi PC Motherboard Diagnostic Card Motherboard,₹331
238,ASHK AS-HK110M-H-R1 Motherboard,"₹9,700"
239,Dtech M5A78L-MLX AM3+ Motherboard,"₹2,499"
240,DHRUV-PRO 3In1 Mini PCI- PCI-E LPC Laptop Analyzer Tester Diagnostic Card Post Test Motherboard,₹899
241,GIGABYTE H81M-H Motherboard,"₹6,299"
