s.no,GPU,MRP
105,Dtech NVIDIA NVIDIA GT210 1 GB DDR3 Graphics Card,"₹1,424"
106,ASRock AMD Radeon RX6800XT PGD 16 GB GDDR6 Graphics Card,"₹94,999"
107,ASUS AMD Radeon Dual RX 6500XT OC 4 GB GDDR6 Graphics Card,"₹17,999"
108,MSI NVIDIA GeForce RTX 3080 Ti VENTUS 3X 12G OC 12 GB GDDR6X Graphics Card,"₹1,54,999"
109,MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6 Graphics Card,"₹32,999"
110,ASUS NVIDIA ROG-STRIX-RTX3080-O10G-V2 10 GB GDDR6X Graphics Card,"₹79,999"
111,MSI NVIDIA RTX 3090 Ti GAMING X TRIO 24G 24 GB GDDR6X Graphics Card,"₹2,07,999"
112,Inno3D NVIDIA GEFORCE GTX 1630 TWIN X2 OC 4 GB GDDR6 Graphics Card,"₹14,999"
113,MSI NVIDIA GeForce RTX 3080 Ti GAMING X TRIO 12G 12 GB GDDR6X Graphics Card,"₹1,49,999"
114,ZOTAC NVIDIA RTX 3090 Trinity OC 24 GB GDDR6X Graphics Card,"₹1,68,999"
115,HASTHIP Intel PCI-E PCI Express 3.0 X4 to NVME M.2 NVME to NVME SSD PCI-e 3.0 x 4 Host Control 1 GB DDR3 Graphics Card,₹699
116,Verilux Intel M.2 NVME SSD Convert Adapter Card for MacBook Air Pro Retina (Year 2013-2017) 1 GB DDR3 Graphics Card,₹754
117,Colorful NVIDIA RTX-3070 Ti 8 GB GDDR6 Graphics Card,"₹64,999"
118,ASUS NVIDIA GeForce GT 730 2GB GDDR5 64-Bit Graphics Card with 4-HDMI ports 2 GB GDDR5 Graphics Card,"₹11,899"
119,MSI AMD Radeon Radeon RX 6600 XT MECH 2X 8G OCV1 8 GB GDDR6 Graphics Card,"₹54,289"
120,ZOTAC NVIDIA RTX 3070 Twin Edge OC White Edition LHR 8 GB GDDR6 Graphics Card,"₹57,999"
121,GALAX NVIDIA NVIDIA GEFORCE GT 710 2GB GDDR3 Graphics Card (Black) 2 GB GDDR3 Graphics Card,"₹3,850"
122,ZEBRONICS NVIDIA ZEBGT730 4 GB GDDR3 Graphics Card,"₹4,149"
123,Sapphire AMD Radeon Radeon RX 6400 4 GB GDDR6 Graphics Card,"₹14,299"
124,Tobo NVIDIA M.2 To USB 3.0 Pcie 1x To 16x Riser Card Switch Transfer Card Adapter USB 3.0 1 GB DDR3 Graphics Card,₹426
125,sillora AMD Radeon AMD 8 GB GDDR5 Graphics Card,"₹10,799"
