s.no,SSD,MRP
122,"SAMSUNG 990 PRO 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V9P1T0BW)","₹12,890"
123,"KINGSTON SATA 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (A400-SA400S37/480GIN)","₹2,500"
124,"EVM 2.5 INCH SATA 128 GB Desktop, All in One PC's, Laptop Internal Solid State Drive (SSD) (128 GB SSD SATA)",₹892
125,"scuda PCIe NVMe SSD 512 GB Laptop, Desktop Internal Solid State Drive (SSD) (Interface PCIe GEN 3X4 , NVMe 1.3)","₹2,999"
126,"WESTERN DIGITAL WD Blue M.2 250 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS250G3B0B)","₹1,929"
127,EXPERTRONICS WD Green with Caddy 9.5 MM 240 GB Laptop Internal Solid State Drive (SSD) (WDS240G3G0A),"₹1,739"
128,"EVM 2.5"" inch SATA. SSD 128 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (128GB SSD 2.5"" INCH SATA)",₹889
129,"Seagate Barracuda Q5 with M.2 NVMe PCIe Gen3 ×4, 3D QLC for Desktop or Laptop, 1-Year Rescue Services 1 TB Laptop Internal Solid State Drive (SSD) (ZP1000CV3A001)","₹5,764"
130,Acer FA100 128 GB Laptop Internal Solid State Drive (SSD) (FA100),"₹2,049"
131,WD Green 1 TB Laptop Internal Solid State Drive (SSD) (WDS100T2G0A),"₹6,108"
132,"scuda NVMe 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (Faster Speed)","₹1,850"
133,"Crucial P3 PCIe 3.0 NVMe M.2 2280 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (CT500P3SSD8)","₹2,690"
134,"HP S700 120 GB Laptop, Desktop Internal Solid State Drive (SSD) (SSD S700 M.2 120GB)","₹1,599"
135,"KINGSTON A400 480 GB Laptop, Desktop Internal Solid State Drive (SSD) (A400 480GB SSD)","₹2,359"
136,PACIFIC INTERNATIONAL Straight Drive 256 GB All in One PC's Internal Solid State Drive (SSD) (PI SATA BLACK 256 GB Internal SSD Solid State Drive - SATA 6Gb/s 2.5 inches),"₹1,049"
137,"GEONIX SUPERSONIC GOLD EDITION 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (SATA III 3.0)","₹1,140"
138,"Crucial MX500 500 GB Desktop, Servers Internal Solid State Drive (SSD) (CT500MX500SSD1 3D NAND SATA)","₹3,200"
139,"Seagate Firecuda 530 - M.2 PCIe Gen4, Heatsink 4 TB Laptop Internal Solid State Drive (SSD) (ZP4000GM3A023)","₹1,22,862"
140,"SAMSUNG 860 Pro 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-76P256BW)","₹6,707"
141,"HP SSD S700 2.5 (4YH56PA) 250 GB All in One PC's, Laptop, Desktop Internal Solid State Drive (SSD) (SSD S700 2.5 (4YH56PA))","₹2,052"
142,Acer RE100 2.5 512 GB Laptop Internal Solid State Drive (SSD) (RE100 2.5),"₹4,567"
143,"KINGSTON A400 480 GB Desktop, All in One PC's Internal Solid State Drive (SSD) (SA400S37/480G)","₹2,699"
144,"Simmtronics SSD 512 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (2.5 "" SATA 6Gb/s SSD)","₹2,125"
145,"WD WD Blue SN550 500 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS500G2B0C)","₹3,499"
146,"Lexar NM620 256 GB Laptop, Desktop Internal Solid State Drive (SSD) (LNM620X256G-RNNNG)","₹2,100"
147,"ADATA SU650 240 GB Laptop, Desktop, All in One PC's, Servers Internal Solid State Drive (SSD) (SU650)","₹1,999"
148,"Simmtronics 2.5 512GB SATA 6gb/S PRO SSD 512 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (2.5 512GB SATA 6gb/S PRO)","₹2,125"
149,"WD Blue™ SA510 2.5"" SATA Internal SSD 250 GB Desktop, Laptop Internal Solid State Drive (SSD) (250GB - WDS250G3B0A)","₹2,499"
150,"Simmtronics NA 128 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (2.5 SATA 6GB/s)",₹949
151,Acer RE100 M.2 512 GB Laptop Internal Solid State Drive (SSD) (RE100 M.2),"₹4,099"
152,"Simmtronics 2.5"" 128 GB Desktop Internal Solid State Drive (SSD) (S930P PRO 2.5"" 128GB)",₹949
153,"Simmtronics S930P PRO 2.5 512 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (2.5 SATA 6GB/s SSD)","₹2,125"
154,"WESTERN DIGITAL WD Blue SATA 250 GB Desktop, Laptop Internal Solid State Drive (SSD) (WDS250G3B0A)","₹1,949"
155,"HP S700 120 GB Laptop, Desktop Internal Solid State Drive (SSD) (S700-120GB)","₹2,395"
156,"HP S700 2.5 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (2DP99AA#ABB)","₹3,316"
157,"HP S700 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (S700-500GB)","₹3,595"
158,"EVM SATA 1 TB All in One PC's, Desktop, Laptop, Surveillance Systems, Network Attached Storage Internal Solid State Drive (SSD) (1TB SSD 2.5"" INCH SATA)","₹3,765"
159,"SAMSUNG 870 Evo 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-77E250BW)","₹2,959"
160,"Silicon Power P34A60 1 TB Desktop, Laptop Internal Solid State Drive (SSD) (SP001TBP34A60M28)","₹4,199"
161,"HP S700 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (4YH56PA)","₹2,600"
162,"ADATA Ultimate SU650 120 GB Laptop, Desktop, All in One PC's, Surveillance Systems, Servers, Network Attached Storage Internal Solid State Drive (SSD) (ASU650SS-120GT-C)","₹1,296"
163,"HP S Series 250 GB Laptop, All in One PC's Internal Solid State Drive (SSD) (2DP98AA#ABC)","₹2,600"
164,"Crucial MX500 250 GB Laptop, Desktop Internal Solid State Drive (SSD) (CT250MX500SSD4/ CT250MX500SSD1)","₹2,424"
165,"HP S700 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (4YH57PA)","₹4,464"
